Designator,Mid X,Mid Y,Rotation,Layer
C101,49.35,-82.51,270.0,top
C102,42.6,-81.06,90.0,top
C103,50.1,-57.56,90.0,top
C104,45.4,-64.52,90.0,top
C105,27.85,-71.76,0.0,top
C106,43.33,-64.53,90.0,top
C107,37.06,-69.38,270.0,top
C108,33.57,-63.77,180.0,top
C109,41.3,-64.685,90.0,top
C110,83.0125,-76.51,180.0,top
C111,86.8125,-76.51,0.0,top
C112,82.3,-72.9325,270.0,top
D101,37.6,-79.01,0.0,top
D102,84.57,-87.63,0.0,top
D103,83.2825,-69.61,180.0,top
D104,86.12,-72.865,180.0,top
FID101,88.3,-88.31,0.0,top
J101,12.93,-7.4825,0.0,top
J102,47.048,-8.0025,0.0,top
J103,29.4,-40.3075,0.0,top
J104,61.612,-40.6025,0.0,top
J105,78.548,-7.8025,0.0,top
J106,10.025,-80.3,270.0,top
J107,61.75,-85.11,180.0,top
J108,75.1,-85.11,180.0,top
J109,74.92,-59.67,270.0,top
L101,27.85,-83.51,0.0,top
Q101,12.0,-22.1875,270.0,top
Q102,15.55,-22.1625,270.0,top
Q103,84.3,-20.9,270.0,top
Q104,80.645,-20.8325,270.0,top
Q105,47.825,-31.4625,270.0,top
Q106,44.225,-31.3625,270.0,top
Q107,58.7,-12.8375,270.0,top
Q108,62.3,-12.8375,270.0,top
Q109,74.85,-20.8375,270.0,top
Q110,71.075,-20.8375,270.0,top
Q111,48.5,-22.8375,270.0,top
Q112,44.05,-22.8375,270.0,top
R101,11.95,-19.325,0.0,top
R102,15.55,-19.325,180.0,top
R103,84.32,-18.095,180.0,top
R104,80.62,-17.995,0.0,top
R105,47.875,-28.7,180.0,top
R106,44.225,-28.525,0.0,top
R107,58.675,-10.0,0.0,top
R108,62.25,-9.975,180.0,top
R109,74.775,-18.0,180.0,top
R110,70.975,-18.0,0.0,top
R111,11.95,-25.025,180.0,top
R112,15.55,-25.025,180.0,top
R113,84.22,-23.695,180.0,top
R114,80.645,-23.695,180.0,top
R115,47.9,-34.3,180.0,top
R116,44.325,-34.225,180.0,top
R117,58.7,-15.7,180.0,top
R118,62.25,-15.675,180.0,top
R119,74.775,-23.7,180.0,top
R120,71.075,-23.7,180.0,top
R121,47.17,-62.39,270.0,top
R122,48.5,-25.7,180.0,top
R123,47.9,-19.9,180.0,top
R124,80.224,-69.223,270.0,top
R125,44.0,-25.7,180.0,top
R126,44.6,-19.9,0.0,top
R127,86.5175,-69.62,180.0,top
SW101,84.3,-66.36,0.0,top
SW102,43.41,-57.97,180.0,top
U101,39.075,-85.51,270.0,top
U102,61.7,-65.385,0.0,top
U103,42.3,-71.36,90.0,top
U104,84.965,-81.71,180.0,top
