Designator,Footprint,Quantity,Value,LCSC Part #
C101,CP_Elec_10x10.5,1,220uF,
C102,0805,1,22uF,
C103,0603,1,.1uF,
"C104, C105",CP_Elec_6.3x7.7,2,47uF,
"D101, D102, D103, D104, D105, D106",0603,6,led_g,
"J101, J102, J104",IDC-Header_2x05_P2.54mm_Vertical,3,Conn_02x05_Odd_Even,
J103,RJ45_Amphenol_RJHSE5380,1,RJ45_Shielded,
"JP101, JP102, JP103",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_3_Open,
"Q101, Q102, Q103, Q104, Q105, Q106",SOT-223-3_TabPin2,6,HIGH PWR FET,
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R116, R117, R118, R119, R120, R121",0603,18,10k,
"R113, R114, R115, R122, R123, R124",0603,6,220R,
U101,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017,
