Designator,Mid X,Mid Y,Rotation,Layer
C101,211.33,-34.8,180.0,top
C102,170.0,-63.695,270.0,top
C103,171.97,-63.48,270.0,top
C104,212.33,-44.8,180.0,top
C105,159.0,-54.4,0.0,top
D101,193.33,-50.8,0.0,top
D102,193.33,-59.3,0.0,top
D103,193.48,-67.8,0.0,top
D104,193.33,-76.3,0.0,top
D105,193.33,-84.8,0.0,top
D106,193.33,-93.1,0.0,top
J101,173.47,-84.04,180.0,top
J102,212.9,-60.3,0.0,top
J103,171.87,-32.2925,0.0,top
J104,212.9,-82.84,0.0,top
Q101,200.33,-47.8,180.0,top
Q102,200.33,-56.3,180.0,top
Q103,200.33,-64.8,180.0,top
Q104,200.33,-73.3,180.0,top
Q105,200.18,-81.8,180.0,top
Q106,199.98,-90.3,180.0,top
R101,181.5,-87.5,180.0,top
R102,186.3,-90.9,0.0,top
R103,181.5,-89.2,180.0,top
R104,186.325,-89.2,0.0,top
R105,181.5,-90.9,180.0,top
R106,186.325,-87.5,0.0,top
R107,193.29,-48.8,180.0,top
R108,193.29,-46.8,180.0,top
R109,193.29,-57.3,180.0,top
R110,193.29,-55.3,180.0,top
R111,193.44,-65.8,180.0,top
R112,193.44,-63.8,180.0,top
R113,193.29,-44.8,180.0,top
R114,193.29,-53.3,180.0,top
R115,193.44,-61.8,180.0,top
R116,193.29,-74.3,180.0,top
R117,193.29,-72.3,180.0,top
R118,193.28,-82.8,180.0,top
R119,193.29,-80.8,180.0,top
R120,193.29,-91.1,180.0,top
R121,193.29,-89.1,180.0,top
R122,193.29,-70.3,180.0,top
R123,193.29,-78.8,180.0,top
R124,193.29,-87.1,180.0,top
U101,179.28,-60.895,270.0,top
